step,ego_action,partner_action,reward,total_return,sparse_return,deliveries,p0_pos,p0_orient,p0_held,p1_pos,p1_orient,p1_held,pots,objects
14,"(0, -1)",interact,0.0,12.0,0.0,0.0,"(5, 2)","(0, -1)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 2);(4, 3):empty","(4, 2):soup('onion', 3, 2)"
15,interact,"(0, 0)",0.0,12.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 3);(4, 3):empty","(4, 2):soup('onion', 3, 3)"
16,interact,"(0, 0)",0.0,12.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 4);(4, 3):empty","(4, 2):soup('onion', 3, 4)"
17,interact,"(0, 0)",0.0,12.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 5);(4, 3):empty","(4, 2):soup('onion', 3, 5)"
18,interact,"(0, 0)",0.0,12.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 6);(4, 3):empty","(4, 2):soup('onion', 3, 6)"
19,interact,"(0, 0)",0.0,12.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 7);(4, 3):empty","(4, 2):soup('onion', 3, 7)"
20,interact,"(0, 0)",0.0,12.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 8);(4, 3):empty","(4, 2):soup('onion', 3, 8)"
21,interact,"(0, 0)",0.0,12.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 9);(4, 3):empty","(4, 2):soup('onion', 3, 9)"
22,interact,"(0, 0)",0.0,12.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 10);(4, 3):empty","(4, 2):soup('onion', 3, 10)"
23,interact,"(0, 0)",0.0,12.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 11);(4, 3):empty","(4, 2):soup('onion', 3, 11)"
24,interact,"(0, 0)",0.0,12.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 12);(4, 3):empty","(4, 2):soup('onion', 3, 12)"
25,interact,"(0, 0)",0.0,12.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 13);(4, 3):empty","(4, 2):soup('onion', 3, 13)"
26,interact,"(0, 0)",0.0,12.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 14);(4, 3):empty","(4, 2):soup('onion', 3, 14)"
27,interact,"(0, 0)",0.0,12.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 15);(4, 3):empty","(4, 2):soup('onion', 3, 15)"
28,interact,"(0, 0)",0.0,12.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 16);(4, 3):empty","(4, 2):soup('onion', 3, 16)"
29,interact,"(0, 0)",0.0,12.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 17);(4, 3):empty","(4, 2):soup('onion', 3, 17)"
30,interact,"(0, 0)",0.0,12.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 18);(4, 3):empty","(4, 2):soup('onion', 3, 18)"
31,interact,"(0, 0)",0.0,12.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 19);(4, 3):empty","(4, 2):soup('onion', 3, 19)"
32,interact,"(0, 0)",0.0,12.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 20);(4, 3):empty","(4, 2):soup('onion', 3, 20)"
33,interact,interact,5.0,17.0,0.0,0.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):empty",
34,"(-1, 0)","(0, -1)",0.0,17.0,0.0,0.0,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):empty",
35,interact,interact,23.0,40.0,20.0,1.0,"(5, 2)","(-1, 0)",,"(3, 2)","(0, -1)",,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
36,"(0, -1)","(0, 1)",0.0,40.0,20.0,1.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
37,interact,"(0, 1)",0.0,40.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
38,"(-1, 0)",interact,3.0,43.0,20.0,1.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",dish,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
39,interact,"(0, -1)",3.0,46.0,20.0,1.0,"(5, 2)","(-1, 0)",,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
40,"(0, -1)","(1, 0)",0.0,46.0,20.0,1.0,"(5, 2)","(0, -1)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
41,interact,"(0, -1)",0.0,46.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
42,"(-1, 0)","(1, 0)",0.0,46.0,20.0,1.0,"(5, 2)","(-1, 0)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
43,interact,interact,3.0,49.0,20.0,1.0,"(5, 2)","(-1, 0)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 1);(4, 3):empty","(4, 2):soup('onion', 3, 1)"
44,"(0, -1)",interact,0.0,49.0,20.0,1.0,"(5, 2)","(0, -1)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 2);(4, 3):empty","(4, 2):soup('onion', 3, 2)"
45,interact,"(0, 0)",0.0,49.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 3);(4, 3):empty","(4, 2):soup('onion', 3, 3)"
46,interact,"(0, 0)",0.0,49.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 4);(4, 3):empty","(4, 2):soup('onion', 3, 4)"
47,interact,"(0, 0)",0.0,49.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 5);(4, 3):empty","(4, 2):soup('onion', 3, 5)"
48,interact,"(0, 0)",0.0,49.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 6);(4, 3):empty","(4, 2):soup('onion', 3, 6)"
49,interact,"(0, 0)",0.0,49.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 7);(4, 3):empty","(4, 2):soup('onion', 3, 7)"
50,interact,"(0, 0)",0.0,49.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 8);(4, 3):empty","(4, 2):soup('onion', 3, 8)"
51,interact,"(0, 0)",0.0,49.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 9);(4, 3):empty","(4, 2):soup('onion', 3, 9)"
52,interact,"(0, 0)",0.0,49.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 10);(4, 3):empty","(4, 2):soup('onion', 3, 10)"
53,interact,"(0, 0)",0.0,49.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 11);(4, 3):empty","(4, 2):soup('onion', 3, 11)"
54,interact,"(0, 0)",0.0,49.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 12);(4, 3):empty","(4, 2):soup('onion', 3, 12)"
55,interact,"(0, 0)",0.0,49.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 13);(4, 3):empty","(4, 2):soup('onion', 3, 13)"
56,interact,"(0, 0)",0.0,49.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 14);(4, 3):empty","(4, 2):soup('onion', 3, 14)"
57,interact,"(0, 0)",0.0,49.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 15);(4, 3):empty","(4, 2):soup('onion', 3, 15)"
58,interact,"(0, 0)",0.0,49.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 16);(4, 3):empty","(4, 2):soup('onion', 3, 16)"
59,interact,"(0, 0)",0.0,49.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 17);(4, 3):empty","(4, 2):soup('onion', 3, 17)"
60,interact,"(0, 0)",0.0,49.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 18);(4, 3):empty","(4, 2):soup('onion', 3, 18)"
61,interact,"(0, 0)",0.0,49.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 19);(4, 3):empty","(4, 2):soup('onion', 3, 19)"
62,interact,"(0, 0)",0.0,49.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 20);(4, 3):empty","(4, 2):soup('onion', 3, 20)"
63,interact,interact,5.0,54.0,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):empty",
64,"(-1, 0)","(0, -1)",0.0,54.0,20.0,1.0,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):empty",
65,interact,interact,23.0,77.0,40.0,2.0,"(5, 2)","(-1, 0)",,"(3, 2)","(0, -1)",,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
66,"(0, -1)","(0, 1)",0.0,77.0,40.0,2.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
67,interact,"(0, 1)",0.0,77.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
68,"(-1, 0)",interact,3.0,80.0,40.0,2.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",dish,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
69,interact,"(0, -1)",3.0,83.0,40.0,2.0,"(5, 2)","(-1, 0)",,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
70,"(0, -1)","(1, 0)",0.0,83.0,40.0,2.0,"(5, 2)","(0, -1)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
71,interact,"(0, -1)",0.0,83.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
72,"(-1, 0)","(1, 0)",0.0,83.0,40.0,2.0,"(5, 2)","(-1, 0)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
73,interact,interact,3.0,86.0,40.0,2.0,"(5, 2)","(-1, 0)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 1);(4, 3):empty","(4, 2):soup('onion', 3, 1)"
74,"(0, -1)",interact,0.0,86.0,40.0,2.0,"(5, 2)","(0, -1)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 2);(4, 3):empty","(4, 2):soup('onion', 3, 2)"
75,interact,"(0, 0)",0.0,86.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 3);(4, 3):empty","(4, 2):soup('onion', 3, 3)"
76,interact,"(0, 0)",0.0,86.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 4);(4, 3):empty","(4, 2):soup('onion', 3, 4)"
77,interact,"(0, 0)",0.0,86.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 5);(4, 3):empty","(4, 2):soup('onion', 3, 5)"
78,interact,"(0, 0)",0.0,86.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 6);(4, 3):empty","(4, 2):soup('onion', 3, 6)"
79,interact,"(0, 0)",0.0,86.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 7);(4, 3):empty","(4, 2):soup('onion', 3, 7)"
80,interact,"(0, 0)",0.0,86.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 8);(4, 3):empty","(4, 2):soup('onion', 3, 8)"
81,interact,"(0, 0)",0.0,86.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 9);(4, 3):empty","(4, 2):soup('onion', 3, 9)"
82,interact,"(0, 0)",0.0,86.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 10);(4, 3):empty","(4, 2):soup('onion', 3, 10)"
83,interact,"(0, 0)",0.0,86.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 11);(4, 3):empty","(4, 2):soup('onion', 3, 11)"
84,interact,"(0, 0)",0.0,86.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 12);(4, 3):empty","(4, 2):soup('onion', 3, 12)"
85,interact,"(0, 0)",0.0,86.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 13);(4, 3):empty","(4, 2):soup('onion', 3, 13)"
86,interact,"(0, 0)",0.0,86.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 14);(4, 3):empty","(4, 2):soup('onion', 3, 14)"
87,interact,"(0, 0)",0.0,86.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 15);(4, 3):empty","(4, 2):soup('onion', 3, 15)"
88,interact,"(0, 0)",0.0,86.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 16);(4, 3):empty","(4, 2):soup('onion', 3, 16)"
89,interact,"(0, 0)",0.0,86.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 17);(4, 3):empty","(4, 2):soup('onion', 3, 17)"
90,interact,"(0, 0)",0.0,86.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 18);(4, 3):empty","(4, 2):soup('onion', 3, 18)"
91,interact,"(0, 0)",0.0,86.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 19);(4, 3):empty","(4, 2):soup('onion', 3, 19)"
92,interact,"(0, 0)",0.0,86.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 20);(4, 3):empty","(4, 2):soup('onion', 3, 20)"
93,interact,interact,5.0,91.0,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):empty",
94,"(-1, 0)","(0, -1)",0.0,91.0,40.0,2.0,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):empty",
95,interact,interact,23.0,114.0,60.0,3.0,"(5, 2)","(-1, 0)",,"(3, 2)","(0, -1)",,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
96,"(0, -1)","(0, 1)",0.0,114.0,60.0,3.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
97,interact,"(0, 1)",0.0,114.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
98,"(-1, 0)",interact,3.0,117.0,60.0,3.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",dish,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
99,interact,"(0, -1)",3.0,120.0,60.0,3.0,"(5, 2)","(-1, 0)",,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
100,"(0, -1)","(1, 0)",0.0,120.0,60.0,3.0,"(5, 2)","(0, -1)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
101,interact,"(0, -1)",0.0,120.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
102,"(-1, 0)","(1, 0)",0.0,120.0,60.0,3.0,"(5, 2)","(-1, 0)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 2, 0);(4, 3):empty","(4, 2):soup('onion', 2, 0)"
103,interact,interact,3.0,123.0,60.0,3.0,"(5, 2)","(-1, 0)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 1);(4, 3):empty","(4, 2):soup('onion', 3, 1)"
104,"(0, -1)",interact,0.0,123.0,60.0,3.0,"(5, 2)","(0, -1)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 2);(4, 3):empty","(4, 2):soup('onion', 3, 2)"
105,interact,"(0, 0)",0.0,123.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 3);(4, 3):empty","(4, 2):soup('onion', 3, 3)"
106,interact,"(0, 0)",0.0,123.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 4);(4, 3):empty","(4, 2):soup('onion', 3, 4)"
107,interact,"(0, 0)",0.0,123.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 5);(4, 3):empty","(4, 2):soup('onion', 3, 5)"
108,interact,"(0, 0)",0.0,123.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 6);(4, 3):empty","(4, 2):soup('onion', 3, 6)"
109,interact,"(0, 0)",0.0,123.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 7);(4, 3):empty","(4, 2):soup('onion', 3, 7)"
110,interact,"(0, 0)",0.0,123.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 8);(4, 3):empty","(4, 2):soup('onion', 3, 8)"
111,interact,"(0, 0)",0.0,123.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 9);(4, 3):empty","(4, 2):soup('onion', 3, 9)"
112,interact,"(0, 0)",0.0,123.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 10);(4, 3):empty","(4, 2):soup('onion', 3, 10)"
113,interact,"(0, 0)",0.0,123.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 11);(4, 3):empty","(4, 2):soup('onion', 3, 11)"
114,interact,"(0, 0)",0.0,123.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 12);(4, 3):empty","(4, 2):soup('onion', 3, 12)"
115,interact,"(0, 0)",0.0,123.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 13);(4, 3):empty","(4, 2):soup('onion', 3, 13)"
116,interact,"(0, 0)",0.0,123.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 14);(4, 3):empty","(4, 2):soup('onion', 3, 14)"
117,interact,"(0, 0)",0.0,123.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 15);(4, 3):empty","(4, 2):soup('onion', 3, 15)"
118,interact,"(0, 0)",0.0,123.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 16);(4, 3):empty","(4, 2):soup('onion', 3, 16)"
119,interact,"(0, 0)",0.0,123.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 17);(4, 3):empty","(4, 2):soup('onion', 3, 17)"
120,interact,"(0, 0)",0.0,123.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 18);(4, 3):empty","(4, 2):soup('onion', 3, 18)"
121,interact,"(0, 0)",0.0,123.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 19);(4, 3):empty","(4, 2):soup('onion', 3, 19)"
122,interact,"(0, 0)",0.0,123.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 20);(4, 3):empty","(4, 2):soup('onion', 3, 20)"
123,interact,interact,5.0,128.0,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(1, 0)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):empty",
124,"(-1, 0)","(0, -1)",0.0,128.0,60.0,3.0,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):empty",
125,interact,interact,23.0,151.0,80.0,4.0,"(5, 2)","(-1, 0)",,"(3, 2)","(0, -1)",,"(4, 2):soup('onion', 1, 0);(4, 3):empty","(4, 2):soup('onion', 1, 0)"
