step,ego_action,partner_action,reward,total_return,sparse_return,deliveries,p0_pos,p0_orient,p0_held,p1_pos,p1_orient,p1_held,pots,objects
41,"(0, -1)","(0, 1)",-0.019200000000000016,53.3098,20.0,1.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 14)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 14)"
42,interact,"(0, 0)",-0.019200000000000016,53.290600000000005,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 15)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 15)"
43,"(-1, 0)","(0, 1)",-0.019200000000000016,53.27140000000001,20.0,1.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 16)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 16)"
44,interact,"(0, 1)",3.456,56.72740000000001,20.0,1.0,"(5, 2)","(-1, 0)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 3, 1);(4, 3):soup('onion', 3, 17)","(4, 2):soup('onion', 3, 1);(4, 3):soup('onion', 3, 17)"
45,"(0, -1)",interact,2.976,59.70340000000001,20.0,1.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",dish,"(4, 2):soup('onion', 3, 2);(4, 3):soup('onion', 3, 18)","(4, 2):soup('onion', 3, 2);(4, 3):soup('onion', 3, 18)"
46,interact,"(1, 0)",-0.02400000000000002,59.67940000000001,20.0,1.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 3);(4, 3):soup('onion', 3, 19)","(4, 2):soup('onion', 3, 3);(4, 3):soup('onion', 3, 19)"
47,"(0, 1)",interact,0.5700000000000001,60.24940000000001,20.0,1.0,"(5, 3)","(0, 1)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 4);(4, 3):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 4);(4, 3):soup('onion', 3, 20)"
48,"(0, 0)",interact,5.4452,65.69460000000001,20.0,1.0,"(5, 3)","(0, 1)",onion,"(3, 3)","(1, 0)","soup('onion', 3, 20)","(4, 2):soup('onion', 3, 5);(4, 3):empty","(4, 2):soup('onion', 3, 5)"
49,"(-1, 0)","(0, -1)",0.024600000000000222,65.71920000000001,20.0,1.0,"(5, 3)","(-1, 0)",onion,"(3, 2)","(0, -1)","soup('onion', 3, 20)","(4, 2):soup('onion', 3, 6);(4, 3):empty","(4, 2):soup('onion', 3, 6)"
50,interact,interact,21.0044,86.72360000000002,40.0,2.0,"(5, 3)","(-1, 0)",,"(3, 2)","(0, -1)",,"(4, 2):soup('onion', 3, 7);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 7);(4, 3):soup('onion', 1, 0)"
51,"(0, -1)",interact,-0.015600000000000147,86.70800000000001,40.0,2.0,"(5, 2)","(0, -1)",,"(3, 2)","(0, -1)",,"(4, 2):soup('onion', 3, 8);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 8);(4, 3):soup('onion', 1, 0)"
52,interact,"(0, 1)",-0.015600000000000147,86.6924,40.0,2.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 3, 9);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 9);(4, 3):soup('onion', 1, 0)"
53,"(0, 1)","(0, 1)",-0.015600000000000147,86.6768,40.0,2.0,"(5, 3)","(0, 1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 3, 10);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 10);(4, 3):soup('onion', 1, 0)"
54,"(-1, 0)",interact,2.9844,89.6612,40.0,2.0,"(5, 3)","(-1, 0)",onion,"(3, 3)","(0, 1)",dish,"(4, 2):soup('onion', 3, 11);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 11);(4, 3):soup('onion', 1, 0)"
55,interact,"(1, 0)",3.3408,93.002,40.0,2.0,"(5, 3)","(-1, 0)",,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 12);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 12);(4, 3):soup('onion', 2, 0)"
56,"(0, -1)","(0, -1)",-0.019200000000000016,92.9828,40.0,2.0,"(5, 2)","(0, -1)",,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 13);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 13);(4, 3):soup('onion', 2, 0)"
57,interact,"(-1, 0)",-0.019200000000000016,92.9636,40.0,2.0,"(5, 2)","(0, -1)",onion,"(2, 2)","(-1, 0)",dish,"(4, 2):soup('onion', 3, 14);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 14);(4, 3):soup('onion', 2, 0)"
58,"(0, 1)","(1, 0)",-0.019200000000000016,92.9444,40.0,2.0,"(5, 3)","(0, 1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 15);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 15);(4, 3):soup('onion', 2, 0)"
59,"(-1, 0)",interact,-0.019200000000000016,92.9252,40.0,2.0,"(5, 3)","(-1, 0)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 16);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 16);(4, 3):soup('onion', 2, 0)"
60,interact,interact,3.456,96.3812,40.0,2.0,"(5, 3)","(-1, 0)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 17);(4, 3):soup('onion', 3, 1)","(4, 2):soup('onion', 3, 17);(4, 3):soup('onion', 3, 1)"
61,"(0, -1)","(0, -1)",-0.02400000000000002,96.3572,40.0,2.0,"(5, 2)","(0, -1)",,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 18);(4, 3):soup('onion', 3, 2)","(4, 2):soup('onion', 3, 18);(4, 3):soup('onion', 3, 2)"
62,interact,"(-1, 0)",-0.02400000000000002,96.3332,40.0,2.0,"(5, 2)","(0, -1)",onion,"(2, 2)","(-1, 0)",dish,"(4, 2):soup('onion', 3, 19);(4, 3):soup('onion', 3, 3)","(4, 2):soup('onion', 3, 19);(4, 3):soup('onion', 3, 3)"
63,"(0, 1)","(1, 0)",0.5700000000000001,96.9032,40.0,2.0,"(5, 3)","(0, 1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 20);(4, 3):soup('onion', 3, 4)","(4, 2):soup('onion', 3, 20);(4, 3):soup('onion', 3, 4)"
64,"(0, 0)",interact,5.5046,102.4078,40.0,2.0,"(5, 3)","(0, 1)",onion,"(3, 2)","(1, 0)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):soup('onion', 3, 5)","(4, 3):soup('onion', 3, 5)"
65,"(-1, 0)","(0, -1)",-0.0354000000000001,102.3724,40.0,2.0,"(5, 3)","(-1, 0)",onion,"(3, 2)","(0, -1)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):soup('onion', 3, 6)","(4, 3):soup('onion', 3, 6)"
66,"(0, -1)",interact,17.648,120.0204,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(0, -1)",,"(4, 2):empty;(4, 3):soup('onion', 3, 7)","(4, 3):soup('onion', 3, 7)"
67,"(-1, 0)","(0, 1)",-0.01200000000000001,120.0084,60.0,3.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",,"(4, 2):empty;(4, 3):soup('onion', 3, 8)","(4, 3):soup('onion', 3, 8)"
68,interact,"(0, 1)",3.3444,123.35279999999999,60.0,3.0,"(5, 2)","(-1, 0)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 9)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 9)"
69,"(0, -1)","(0, 1)",-0.015600000000000147,123.33719999999998,60.0,3.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 10)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 10)"
70,interact,"(0, 0)",-0.015600000000000147,123.32159999999998,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 11)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 11)"
71,"(-1, 0)","(0, 1)",-0.015600000000000147,123.30599999999997,60.0,3.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 12)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 12)"
72,interact,"(0, 1)",3.3408,126.64679999999997,60.0,3.0,"(5, 2)","(-1, 0)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 13)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 13)"
73,"(0, -1)","(0, 1)",-0.019200000000000016,126.62759999999997,60.0,3.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 14)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 14)"
74,interact,"(0, 0)",-0.019200000000000016,126.60839999999997,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 15)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 15)"
75,"(-1, 0)","(0, 1)",-0.019200000000000016,126.58919999999998,60.0,3.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 16)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 16)"
76,interact,"(0, 1)",3.456,130.04519999999997,60.0,3.0,"(5, 2)","(-1, 0)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 3, 1);(4, 3):soup('onion', 3, 17)","(4, 2):soup('onion', 3, 1);(4, 3):soup('onion', 3, 17)"
77,"(0, -1)",interact,2.976,133.02119999999996,60.0,3.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",dish,"(4, 2):soup('onion', 3, 2);(4, 3):soup('onion', 3, 18)","(4, 2):soup('onion', 3, 2);(4, 3):soup('onion', 3, 18)"
78,interact,"(1, 0)",-0.02400000000000002,132.99719999999996,60.0,3.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 3);(4, 3):soup('onion', 3, 19)","(4, 2):soup('onion', 3, 3);(4, 3):soup('onion', 3, 19)"
79,"(0, 1)",interact,0.5700000000000001,133.56719999999996,60.0,3.0,"(5, 3)","(0, 1)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 4);(4, 3):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 4);(4, 3):soup('onion', 3, 20)"
80,"(0, 0)",interact,5.4452,139.01239999999996,60.0,3.0,"(5, 3)","(0, 1)",onion,"(3, 3)","(1, 0)","soup('onion', 3, 20)","(4, 2):soup('onion', 3, 5);(4, 3):empty","(4, 2):soup('onion', 3, 5)"
81,"(-1, 0)","(0, -1)",0.024600000000000222,139.03699999999995,60.0,3.0,"(5, 3)","(-1, 0)",onion,"(3, 2)","(0, -1)","soup('onion', 3, 20)","(4, 2):soup('onion', 3, 6);(4, 3):empty","(4, 2):soup('onion', 3, 6)"
82,interact,interact,21.0044,160.04139999999995,80.0,4.0,"(5, 3)","(-1, 0)",,"(3, 2)","(0, -1)",,"(4, 2):soup('onion', 3, 7);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 7);(4, 3):soup('onion', 1, 0)"
83,"(0, -1)",interact,-0.015600000000000147,160.02579999999995,80.0,4.0,"(5, 2)","(0, -1)",,"(3, 2)","(0, -1)",,"(4, 2):soup('onion', 3, 8);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 8);(4, 3):soup('onion', 1, 0)"
84,interact,"(0, 1)",-0.015600000000000147,160.01019999999994,80.0,4.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 3, 9);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 9);(4, 3):soup('onion', 1, 0)"
85,"(0, 1)","(0, 1)",-0.015600000000000147,159.99459999999993,80.0,4.0,"(5, 3)","(0, 1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 3, 10);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 10);(4, 3):soup('onion', 1, 0)"
86,"(-1, 0)",interact,2.9844,162.97899999999993,80.0,4.0,"(5, 3)","(-1, 0)",onion,"(3, 3)","(0, 1)",dish,"(4, 2):soup('onion', 3, 11);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 11);(4, 3):soup('onion', 1, 0)"
87,interact,"(1, 0)",3.3408,166.31979999999993,80.0,4.0,"(5, 3)","(-1, 0)",,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 12);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 12);(4, 3):soup('onion', 2, 0)"
88,"(0, -1)","(0, -1)",-0.019200000000000016,166.30059999999992,80.0,4.0,"(5, 2)","(0, -1)",,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 13);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 13);(4, 3):soup('onion', 2, 0)"
89,interact,"(-1, 0)",-0.019200000000000016,166.2813999999999,80.0,4.0,"(5, 2)","(0, -1)",onion,"(2, 2)","(-1, 0)",dish,"(4, 2):soup('onion', 3, 14);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 14);(4, 3):soup('onion', 2, 0)"
90,"(0, 1)","(1, 0)",-0.019200000000000016,166.2621999999999,80.0,4.0,"(5, 3)","(0, 1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 15);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 15);(4, 3):soup('onion', 2, 0)"
91,"(-1, 0)",interact,-0.019200000000000016,166.24299999999988,80.0,4.0,"(5, 3)","(-1, 0)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 16);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 16);(4, 3):soup('onion', 2, 0)"
92,interact,interact,3.456,169.69899999999987,80.0,4.0,"(5, 3)","(-1, 0)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 17);(4, 3):soup('onion', 3, 1)","(4, 2):soup('onion', 3, 17);(4, 3):soup('onion', 3, 1)"
93,"(0, -1)","(0, -1)",-0.02400000000000002,169.67499999999987,80.0,4.0,"(5, 2)","(0, -1)",,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 18);(4, 3):soup('onion', 3, 2)","(4, 2):soup('onion', 3, 18);(4, 3):soup('onion', 3, 2)"
94,interact,"(-1, 0)",-0.02400000000000002,169.65099999999987,80.0,4.0,"(5, 2)","(0, -1)",onion,"(2, 2)","(-1, 0)",dish,"(4, 2):soup('onion', 3, 19);(4, 3):soup('onion', 3, 3)","(4, 2):soup('onion', 3, 19);(4, 3):soup('onion', 3, 3)"
95,"(0, 1)","(1, 0)",0.5700000000000001,170.22099999999986,80.0,4.0,"(5, 3)","(0, 1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 20);(4, 3):soup('onion', 3, 4)","(4, 2):soup('onion', 3, 20);(4, 3):soup('onion', 3, 4)"
96,"(0, 0)",interact,5.5046,175.72559999999987,80.0,4.0,"(5, 3)","(0, 1)",onion,"(3, 2)","(1, 0)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):soup('onion', 3, 5)","(4, 3):soup('onion', 3, 5)"
97,"(-1, 0)","(0, -1)",-0.0354000000000001,175.69019999999986,80.0,4.0,"(5, 3)","(-1, 0)",onion,"(3, 2)","(0, -1)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):soup('onion', 3, 6)","(4, 3):soup('onion', 3, 6)"
98,"(0, -1)",interact,17.648,193.33819999999986,100.0,5.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(0, -1)",,"(4, 2):empty;(4, 3):soup('onion', 3, 7)","(4, 3):soup('onion', 3, 7)"
99,"(-1, 0)","(0, 1)",-0.01200000000000001,193.32619999999986,100.0,5.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",,"(4, 2):empty;(4, 3):soup('onion', 3, 8)","(4, 3):soup('onion', 3, 8)"
