step,ego_action_idx,ego_action,p0_pos,p0_orient,p0_held,p1_pos,p1_orient,p1_held,objects_before,pots_before,cum_sparse_before,cum_shaped_before,partner_action_idx,partner_action,reward,sparse_reward,built_in_shaped_reward,custom_shaped_reward,cum_sparse_after,cum_shaped_after,delivery_event,p0_pos_after,p0_held_after,p1_pos_after,p1_held_after,objects_after,pots_after
14,5,interact,"(5, 2)","(0, -1)",,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 2)","(4, 2):soup('onion', 3, 2);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 3)",dish,"(4, 2):soup('onion', 3, 3)","(4, 2):soup('onion', 3, 3);(4, 3):empty"
15,3,"(-1, 0)","(5, 2)","(0, -1)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 3)","(4, 2):soup('onion', 3, 3);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 3)",dish,"(4, 2):soup('onion', 3, 4)","(4, 2):soup('onion', 3, 4);(4, 3):empty"
16,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 4)","(4, 2):soup('onion', 3, 4);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 3)",dish,"(4, 2):soup('onion', 3, 5)","(4, 2):soup('onion', 3, 5);(4, 3):empty"
17,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 5)","(4, 2):soup('onion', 3, 5);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 3)",dish,"(4, 2):soup('onion', 3, 6)","(4, 2):soup('onion', 3, 6);(4, 3):empty"
18,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 6)","(4, 2):soup('onion', 3, 6);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 3)",dish,"(4, 2):soup('onion', 3, 7)","(4, 2):soup('onion', 3, 7);(4, 3):empty"
19,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 7)","(4, 2):soup('onion', 3, 7);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 3)",dish,"(4, 2):soup('onion', 3, 8)","(4, 2):soup('onion', 3, 8);(4, 3):empty"
20,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 8)","(4, 2):soup('onion', 3, 8);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 3)",dish,"(4, 2):soup('onion', 3, 9)","(4, 2):soup('onion', 3, 9);(4, 3):empty"
21,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 9)","(4, 2):soup('onion', 3, 9);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 3)",dish,"(4, 2):soup('onion', 3, 10)","(4, 2):soup('onion', 3, 10);(4, 3):empty"
22,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 10)","(4, 2):soup('onion', 3, 10);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 3)",dish,"(4, 2):soup('onion', 3, 11)","(4, 2):soup('onion', 3, 11);(4, 3):empty"
23,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 11)","(4, 2):soup('onion', 3, 11);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 3)",dish,"(4, 2):soup('onion', 3, 12)","(4, 2):soup('onion', 3, 12);(4, 3):empty"
24,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 12)","(4, 2):soup('onion', 3, 12);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 3)",dish,"(4, 2):soup('onion', 3, 13)","(4, 2):soup('onion', 3, 13);(4, 3):empty"
25,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 13)","(4, 2):soup('onion', 3, 13);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 3)",dish,"(4, 2):soup('onion', 3, 14)","(4, 2):soup('onion', 3, 14);(4, 3):empty"
26,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 14)","(4, 2):soup('onion', 3, 14);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 3)",dish,"(4, 2):soup('onion', 3, 15)","(4, 2):soup('onion', 3, 15);(4, 3):empty"
27,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 15)","(4, 2):soup('onion', 3, 15);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 3)",dish,"(4, 2):soup('onion', 3, 16)","(4, 2):soup('onion', 3, 16);(4, 3):empty"
28,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 16)","(4, 2):soup('onion', 3, 16);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 3)",dish,"(4, 2):soup('onion', 3, 17)","(4, 2):soup('onion', 3, 17);(4, 3):empty"
29,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 17)","(4, 2):soup('onion', 3, 17);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 3)",dish,"(4, 2):soup('onion', 3, 18)","(4, 2):soup('onion', 3, 18);(4, 3):empty"
30,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 18)","(4, 2):soup('onion', 3, 18);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 3)",dish,"(4, 2):soup('onion', 3, 19)","(4, 2):soup('onion', 3, 19);(4, 3):empty"
31,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 19)","(4, 2):soup('onion', 3, 19);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 3)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
32,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
33,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
34,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
35,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
36,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
37,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
38,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
39,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
40,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
41,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
42,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
43,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
44,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
45,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
46,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
47,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
48,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
49,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
50,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
51,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
52,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
53,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
54,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
55,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
56,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
57,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
58,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
59,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
60,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
61,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
62,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
63,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
64,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
65,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
66,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
67,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
68,5,interact,"(5, 2)","(-1, 0)",onion,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(5, 2)",onion,"(3, 2)",dish,"(4, 2):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 20);(4, 3):empty"
