step,ego_action_idx,ego_action,p0_pos,p0_orient,p0_held,p1_pos,p1_orient,p1_held,objects_before,pots_before,cum_sparse_before,cum_shaped_before,partner_action_idx,partner_action,reward,sparse_reward,built_in_shaped_reward,custom_shaped_reward,cum_sparse_after,cum_shaped_after,delivery_event,p0_pos_after,p0_held_after,p1_pos_after,p1_held_after,objects_after,pots_after
14,1,"(0, 1)","(3, 2)","(0, 1)",,"(1, 3)","(0, 1)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)",0.0,6.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,6.0,False,"(3, 3)",,"(1, 2)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)"
15,3,"(-1, 0)","(3, 3)","(0, 1)",,"(1, 2)","(0, -1)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)",0.0,6.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,6.0,False,"(2, 3)",,"(1, 2)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)"
16,3,"(-1, 0)","(2, 3)","(-1, 0)",,"(1, 2)","(1, 0)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)",0.0,6.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,6.0,False,"(1, 3)",,"(1, 1)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)"
17,5,interact,"(1, 3)","(-1, 0)",,"(1, 1)","(0, -1)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)",0.0,6.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,6.0,False,"(1, 3)",onion,"(2, 1)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)"
18,2,"(1, 0)","(1, 3)","(-1, 0)",onion,"(2, 1)","(1, 0)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)",0.0,6.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,6.0,False,"(2, 3)",onion,"(2, 1)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)"
19,2,"(1, 0)","(2, 3)","(1, 0)",onion,"(2, 1)","(0, -1)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)",0.0,6.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,6.0,False,"(3, 3)",onion,"(3, 1)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)"
20,0,"(0, -1)","(3, 3)","(1, 0)",onion,"(3, 1)","(1, 0)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)",0.0,6.0,5,interact,3.0,0.0,3.0,0.0,0.0,9.0,False,"(3, 2)",onion,"(3, 1)",,"(4, 1):soup('onion', 3, 1)","(3, 0):empty;(4, 1):soup('onion', 3, 1)"
21,2,"(1, 0)","(3, 2)","(0, -1)",onion,"(3, 1)","(1, 0)",,"(4, 1):soup('onion', 3, 1)","(3, 0):empty;(4, 1):soup('onion', 3, 1)",0.0,9.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,9.0,False,"(3, 2)",onion,"(2, 1)",,"(4, 1):soup('onion', 3, 2)","(3, 0):empty;(4, 1):soup('onion', 3, 2)"
22,0,"(0, -1)","(3, 2)","(1, 0)",onion,"(2, 1)","(-1, 0)",,"(4, 1):soup('onion', 3, 2)","(3, 0):empty;(4, 1):soup('onion', 3, 2)",0.0,9.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,9.0,False,"(3, 1)",onion,"(1, 1)",,"(4, 1):soup('onion', 3, 3)","(3, 0):empty;(4, 1):soup('onion', 3, 3)"
23,5,interact,"(3, 1)","(0, -1)",onion,"(1, 1)","(-1, 0)",,"(4, 1):soup('onion', 3, 3)","(3, 0):empty;(4, 1):soup('onion', 3, 3)",0.0,9.0,1,"(0, 1)",3.0,0.0,3.0,0.0,0.0,12.0,False,"(3, 1)",,"(1, 2)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 4)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 4)"
24,5,interact,"(3, 1)","(0, -1)",,"(1, 2)","(0, 1)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 4)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 4)",0.0,12.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(3, 1)",,"(1, 2)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 5)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 5)"
25,5,interact,"(3, 1)","(0, -1)",,"(1, 2)","(-1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 5)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 5)",0.0,12.0,1,"(0, 1)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(3, 1)",,"(1, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 6)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 6)"
26,3,"(-1, 0)","(3, 1)","(0, -1)",,"(1, 3)","(0, 1)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 6)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 6)",0.0,12.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(2, 1)",,"(2, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 7)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 7)"
27,3,"(-1, 0)","(2, 1)","(-1, 0)",,"(2, 3)","(1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 7)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 7)",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(1, 1)",,"(2, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 8)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 8)"
28,3,"(-1, 0)","(1, 1)","(-1, 0)",,"(2, 3)","(1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 8)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 8)",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(1, 1)",,"(2, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 9)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 9)"
29,3,"(-1, 0)","(1, 1)","(-1, 0)",,"(2, 3)","(1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 9)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 9)",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(1, 1)",,"(2, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 10)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 10)"
30,3,"(-1, 0)","(1, 1)","(-1, 0)",,"(2, 3)","(1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 10)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 10)",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(1, 1)",,"(2, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 11)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 11)"
31,3,"(-1, 0)","(1, 1)","(-1, 0)",,"(2, 3)","(1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 11)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 11)",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(1, 1)",,"(2, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 12)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 12)"
32,3,"(-1, 0)","(1, 1)","(-1, 0)",,"(2, 3)","(1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 12)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 12)",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(1, 1)",,"(2, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 13)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 13)"
33,3,"(-1, 0)","(1, 1)","(-1, 0)",,"(2, 3)","(1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 13)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 13)",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(1, 1)",,"(2, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 14)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 14)"
34,3,"(-1, 0)","(1, 1)","(-1, 0)",,"(2, 3)","(1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 14)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 14)",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(1, 1)",,"(2, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 15)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 15)"
35,3,"(-1, 0)","(1, 1)","(-1, 0)",,"(2, 3)","(1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 15)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 15)",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(1, 1)",,"(2, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 16)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 16)"
36,3,"(-1, 0)","(1, 1)","(-1, 0)",,"(2, 3)","(1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 16)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 16)",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(1, 1)",,"(2, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 17)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 17)"
37,3,"(-1, 0)","(1, 1)","(-1, 0)",,"(2, 3)","(1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 17)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 17)",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(1, 1)",,"(2, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 18)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 18)"
38,3,"(-1, 0)","(1, 1)","(-1, 0)",,"(2, 3)","(1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 18)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 18)",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(1, 1)",,"(2, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 19)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 19)"
39,3,"(-1, 0)","(1, 1)","(-1, 0)",,"(2, 3)","(1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 19)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 19)",0.0,12.0,5,interact,0.0,0.0,0.0,0.0,0.0,12.0,False,"(1, 1)",,"(2, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)"
40,1,"(0, 1)","(1, 1)","(-1, 0)",,"(2, 3)","(1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)",0.0,12.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(1, 2)",,"(3, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)"
41,3,"(-1, 0)","(1, 2)","(0, 1)",,"(3, 3)","(1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)",0.0,12.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,12.0,False,"(1, 2)",,"(2, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)"
42,5,interact,"(1, 2)","(-1, 0)",,"(2, 3)","(-1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)",0.0,12.0,0,"(0, -1)",3.0,0.0,3.0,0.0,0.0,15.0,False,"(1, 2)",dish,"(2, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)"
43,0,"(0, -1)","(1, 2)","(-1, 0)",dish,"(2, 3)","(0, -1)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)",0.0,15.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,0.0,15.0,False,"(1, 1)",dish,"(1, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)"
44,2,"(1, 0)","(1, 1)","(0, -1)",dish,"(1, 3)","(-1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)",0.0,15.0,1,"(0, 1)",0.0,0.0,0.0,0.0,0.0,15.0,False,"(2, 1)",dish,"(1, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)"
45,2,"(1, 0)","(2, 1)","(1, 0)",dish,"(1, 3)","(0, 1)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)",0.0,15.0,1,"(0, 1)",0.0,0.0,0.0,0.0,0.0,15.0,False,"(3, 1)",dish,"(1, 3)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)"
46,5,interact,"(3, 1)","(1, 0)",dish,"(1, 3)","(0, 1)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 3, 20)",0.0,15.0,3,"(-1, 0)",5.0,0.0,5.0,0.0,0.0,20.0,False,"(3, 1)","soup('onion', 3, 20)","(1, 3)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):empty"
47,1,"(0, 1)","(3, 1)","(1, 0)","soup('onion', 3, 20)","(1, 3)","(-1, 0)",,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):empty",0.0,20.0,5,interact,0.0,0.0,0.0,0.0,0.0,20.0,False,"(3, 2)","soup('onion', 3, 20)","(1, 3)",onion,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):empty"
48,1,"(0, 1)","(3, 2)","(0, 1)","soup('onion', 3, 20)","(1, 3)","(-1, 0)",onion,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):empty",0.0,20.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,20.0,False,"(3, 3)","soup('onion', 3, 20)","(1, 2)",onion,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):empty"
49,3,"(-1, 0)","(3, 3)","(0, 1)","soup('onion', 3, 20)","(1, 2)","(0, -1)",onion,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):empty",0.0,20.0,2,"(1, 0)",0.0,0.0,0.0,0.0,0.0,20.0,False,"(2, 3)","soup('onion', 3, 20)","(1, 2)",onion,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):empty"
50,1,"(0, 1)","(2, 3)","(-1, 0)","soup('onion', 3, 20)","(1, 2)","(1, 0)",onion,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):empty",0.0,20.0,0,"(0, -1)",0.0,0.0,0.0,0.0,0.0,20.0,False,"(2, 3)","soup('onion', 3, 20)","(1, 1)",onion,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):empty"
51,5,interact,"(2, 3)","(0, 1)","soup('onion', 3, 20)","(1, 1)","(0, -1)",onion,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):empty",0.0,20.0,2,"(1, 0)",20.0,20.0,0.0,0.0,20.0,20.0,True,"(2, 3)",,"(2, 1)",onion,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):empty"
52,3,"(-1, 0)","(2, 3)","(0, 1)",,"(2, 1)","(1, 0)",onion,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):empty",20.0,20.0,2,"(1, 0)",0.0,0.0,0.0,0.0,20.0,20.0,False,"(1, 3)",,"(3, 1)",onion,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):empty"
53,5,interact,"(1, 3)","(-1, 0)",,"(3, 1)","(1, 0)",onion,"(3, 0):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):empty",20.0,20.0,5,interact,3.0,0.0,3.0,0.0,20.0,23.0,False,"(1, 3)",onion,"(3, 1)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)"
54,2,"(1, 0)","(1, 3)","(-1, 0)",onion,"(3, 1)","(1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)",20.0,23.0,5,interact,0.0,0.0,0.0,0.0,20.0,23.0,False,"(2, 3)",onion,"(3, 1)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)"
55,2,"(1, 0)","(2, 3)","(1, 0)",onion,"(3, 1)","(1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)",20.0,23.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,20.0,23.0,False,"(3, 3)",onion,"(2, 1)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)"
56,0,"(0, -1)","(3, 3)","(1, 0)",onion,"(2, 1)","(-1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)",20.0,23.0,3,"(-1, 0)",0.0,0.0,0.0,0.0,20.0,23.0,False,"(3, 2)",onion,"(1, 1)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)"
57,0,"(0, -1)","(3, 2)","(0, -1)",onion,"(1, 1)","(-1, 0)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)",20.0,23.0,1,"(0, 1)",0.0,0.0,0.0,0.0,20.0,23.0,False,"(3, 1)",onion,"(1, 2)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)"
58,5,interact,"(3, 1)","(0, -1)",onion,"(1, 2)","(0, 1)",,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)",20.0,23.0,1,"(0, 1)",3.0,0.0,3.0,0.0,20.0,26.0,False,"(3, 1)",,"(1, 3)",,"(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)"
59,5,interact,"(3, 1)","(0, -1)",,"(1, 3)","(0, 1)",,"(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)",20.0,26.0,5,interact,0.0,0.0,0.0,0.0,20.0,26.0,False,"(3, 1)",,"(1, 3)",onion,"(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)"
