step,ego_action_idx,ego_action,p0_pos,p0_orient,p0_held,p1_pos,p1_orient,p1_held,objects_before,pots_before,cum_sparse_before,cum_shaped_before,partner_action_idx,partner_action,reward,sparse_reward,built_in_shaped_reward,custom_shaped_reward,cum_sparse_after,cum_shaped_after,delivery_event,p0_pos_after,p0_held_after,p1_pos_after,p1_held_after,objects_after,pots_after
14,0,"(0, -1)","(3, 2)","(0, -1)",onion,"(1, 1)","(0, -1)",onion,"(4, 1):soup('onion', 1, 0)","(3, 0):empty;(4, 1):soup('onion', 1, 0)",0.0,3.0,0,"(0, -1)",-0.003600000000000003,0.0,0.0,-0.003600000000000003,0.0,3.0,False,"(3, 1)",onion,"(1, 1)",onion,"(4, 1):soup('onion', 1, 0)","(3, 0):empty;(4, 1):soup('onion', 1, 0)"
15,5,interact,"(3, 1)","(0, -1)",onion,"(1, 1)","(0, -1)",onion,"(4, 1):soup('onion', 1, 0)","(3, 0):empty;(4, 1):soup('onion', 1, 0)",0.0,3.0,2,"(1, 0)",3.3528,0.0,3.0,0.35279999999999995,0.0,6.0,False,"(3, 1)",,"(2, 1)",onion,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)"
16,1,"(0, 1)","(3, 1)","(0, -1)",,"(2, 1)","(1, 0)",onion,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)",0.0,6.0,4,"(0, 0)",-0.007200000000000006,0.0,0.0,-0.007200000000000006,0.0,6.0,False,"(3, 2)",,"(2, 1)",onion,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)"
17,1,"(0, 1)","(3, 2)","(0, 1)",,"(2, 1)","(1, 0)",onion,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)",0.0,6.0,2,"(1, 0)",-0.007200000000000006,0.0,0.0,-0.007200000000000006,0.0,6.0,False,"(3, 3)",,"(3, 1)",onion,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)"
18,3,"(-1, 0)","(3, 3)","(0, 1)",,"(3, 1)","(1, 0)",onion,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)",0.0,6.0,0,"(0, -1)",-0.007200000000000006,0.0,0.0,-0.007200000000000006,0.0,6.0,False,"(2, 3)",,"(3, 1)",onion,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)"
19,3,"(-1, 0)","(2, 3)","(-1, 0)",,"(3, 1)","(0, -1)",onion,"(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 1, 0);(4, 1):soup('onion', 1, 0)",0.0,6.0,5,interact,3.3491999999999997,0.0,3.0,0.3491999999999999,0.0,9.0,False,"(1, 3)",,"(3, 1)",,"(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)"
20,5,interact,"(1, 3)","(-1, 0)",,"(3, 1)","(0, -1)",,"(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)",0.0,9.0,3,"(-1, 0)",-0.01080000000000001,0.0,0.0,-0.01080000000000001,0.0,9.0,False,"(1, 3)",onion,"(2, 1)",,"(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)"
21,2,"(1, 0)","(1, 3)","(-1, 0)",onion,"(2, 1)","(-1, 0)",,"(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)",0.0,9.0,3,"(-1, 0)",-0.01080000000000001,0.0,0.0,-0.01080000000000001,0.0,9.0,False,"(2, 3)",onion,"(1, 1)",,"(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)"
22,5,interact,"(2, 3)","(1, 0)",onion,"(1, 1)","(-1, 0)",,"(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)",0.0,9.0,1,"(0, 1)",-0.01080000000000001,0.0,0.0,-0.01080000000000001,0.0,9.0,False,"(2, 3)",onion,"(1, 2)",,"(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)"
23,5,interact,"(2, 3)","(1, 0)",onion,"(1, 2)","(0, 1)",,"(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)",0.0,9.0,1,"(0, 1)",-0.01080000000000001,0.0,0.0,-0.01080000000000001,0.0,9.0,False,"(2, 3)",onion,"(1, 3)",,"(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)"
24,2,"(1, 0)","(2, 3)","(1, 0)",onion,"(1, 3)","(0, 1)",,"(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)",0.0,9.0,5,interact,-0.01080000000000001,0.0,0.0,-0.01080000000000001,0.0,9.0,False,"(3, 3)",onion,"(1, 3)",onion,"(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)"
25,0,"(0, -1)","(3, 3)","(1, 0)",onion,"(1, 3)","(0, 1)",onion,"(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)",0.0,9.0,0,"(0, -1)",-0.01080000000000001,0.0,0.0,-0.01080000000000001,0.0,9.0,False,"(3, 2)",onion,"(1, 2)",onion,"(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)"
26,0,"(0, -1)","(3, 2)","(0, -1)",onion,"(1, 2)","(0, -1)",onion,"(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)",0.0,9.0,0,"(0, -1)",-0.01080000000000001,0.0,0.0,-0.01080000000000001,0.0,9.0,False,"(3, 1)",onion,"(1, 1)",onion,"(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)"
27,5,interact,"(3, 1)","(0, -1)",onion,"(1, 1)","(0, -1)",onion,"(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 2, 0);(4, 1):soup('onion', 1, 0)",0.0,9.0,2,"(1, 0)",3.4644,0.0,3.0,0.4644,0.0,12.0,False,"(3, 1)",,"(2, 1)",onion,"(3, 0):soup('onion', 3, 1);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 3, 1);(4, 1):soup('onion', 1, 0)"
28,1,"(0, 1)","(3, 1)","(0, -1)",,"(2, 1)","(1, 0)",onion,"(3, 0):soup('onion', 3, 1);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 3, 1);(4, 1):soup('onion', 1, 0)",0.0,12.0,4,"(0, 0)",-0.015600000000000147,0.0,0.0,-0.015600000000000147,0.0,12.0,False,"(3, 2)",,"(2, 1)",onion,"(3, 0):soup('onion', 3, 2);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 3, 2);(4, 1):soup('onion', 1, 0)"
29,1,"(0, 1)","(3, 2)","(0, 1)",,"(2, 1)","(1, 0)",onion,"(3, 0):soup('onion', 3, 2);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 3, 2);(4, 1):soup('onion', 1, 0)",0.0,12.0,2,"(1, 0)",-0.015600000000000147,0.0,0.0,-0.015600000000000147,0.0,12.0,False,"(3, 3)",,"(3, 1)",onion,"(3, 0):soup('onion', 3, 3);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 3, 3);(4, 1):soup('onion', 1, 0)"
30,3,"(-1, 0)","(3, 3)","(0, 1)",,"(3, 1)","(1, 0)",onion,"(3, 0):soup('onion', 3, 3);(4, 1):soup('onion', 1, 0)","(3, 0):soup('onion', 3, 3);(4, 1):soup('onion', 1, 0)",0.0,12.0,5,interact,3.3408,0.0,3.0,0.34080000000000005,0.0,15.0,False,"(2, 3)",,"(3, 1)",,"(3, 0):soup('onion', 3, 4);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 4);(4, 1):soup('onion', 2, 0)"
31,3,"(-1, 0)","(2, 3)","(-1, 0)",,"(3, 1)","(1, 0)",,"(3, 0):soup('onion', 3, 4);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 4);(4, 1):soup('onion', 2, 0)",0.0,15.0,3,"(-1, 0)",-0.019200000000000016,0.0,0.0,-0.019200000000000016,0.0,15.0,False,"(1, 3)",,"(2, 1)",,"(3, 0):soup('onion', 3, 5);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 5);(4, 1):soup('onion', 2, 0)"
32,0,"(0, -1)","(1, 3)","(-1, 0)",,"(2, 1)","(-1, 0)",,"(3, 0):soup('onion', 3, 5);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 5);(4, 1):soup('onion', 2, 0)",0.0,15.0,3,"(-1, 0)",-0.019200000000000016,0.0,0.0,-0.019200000000000016,0.0,15.0,False,"(1, 2)",,"(1, 1)",,"(3, 0):soup('onion', 3, 6);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 6);(4, 1):soup('onion', 2, 0)"
33,3,"(-1, 0)","(1, 2)","(0, -1)",,"(1, 1)","(-1, 0)",,"(3, 0):soup('onion', 3, 6);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 6);(4, 1):soup('onion', 2, 0)",0.0,15.0,1,"(0, 1)",-0.019200000000000016,0.0,0.0,-0.019200000000000016,0.0,15.0,False,"(1, 2)",,"(1, 1)",,"(3, 0):soup('onion', 3, 7);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 7);(4, 1):soup('onion', 2, 0)"
34,5,interact,"(1, 2)","(-1, 0)",,"(1, 1)","(0, 1)",,"(3, 0):soup('onion', 3, 7);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 7);(4, 1):soup('onion', 2, 0)",0.0,15.0,1,"(0, 1)",2.9808,0.0,3.0,-0.019200000000000016,0.0,18.0,False,"(1, 2)",dish,"(1, 1)",,"(3, 0):soup('onion', 3, 8);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 8);(4, 1):soup('onion', 2, 0)"
35,1,"(0, 1)","(1, 2)","(-1, 0)",dish,"(1, 1)","(0, 1)",,"(3, 0):soup('onion', 3, 8);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 8);(4, 1):soup('onion', 2, 0)",0.0,18.0,1,"(0, 1)",-0.019200000000000016,0.0,0.0,-0.019200000000000016,0.0,18.0,False,"(1, 3)",dish,"(1, 2)",,"(3, 0):soup('onion', 3, 9);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 9);(4, 1):soup('onion', 2, 0)"
36,4,"(0, 0)","(1, 3)","(0, 1)",dish,"(1, 2)","(0, 1)",,"(3, 0):soup('onion', 3, 9);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 9);(4, 1):soup('onion', 2, 0)",0.0,18.0,1,"(0, 1)",-0.019200000000000016,0.0,0.0,-0.019200000000000016,0.0,18.0,False,"(1, 3)",dish,"(1, 2)",,"(3, 0):soup('onion', 3, 10);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 10);(4, 1):soup('onion', 2, 0)"
37,4,"(0, 0)","(1, 3)","(0, 1)",dish,"(1, 2)","(0, 1)",,"(3, 0):soup('onion', 3, 10);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 10);(4, 1):soup('onion', 2, 0)",0.0,18.0,1,"(0, 1)",-0.019200000000000016,0.0,0.0,-0.019200000000000016,0.0,18.0,False,"(1, 3)",dish,"(1, 2)",,"(3, 0):soup('onion', 3, 11);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 11);(4, 1):soup('onion', 2, 0)"
38,4,"(0, 0)","(1, 3)","(0, 1)",dish,"(1, 2)","(0, 1)",,"(3, 0):soup('onion', 3, 11);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 11);(4, 1):soup('onion', 2, 0)",0.0,18.0,1,"(0, 1)",-0.019200000000000016,0.0,0.0,-0.019200000000000016,0.0,18.0,False,"(1, 3)",dish,"(1, 2)",,"(3, 0):soup('onion', 3, 12);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 12);(4, 1):soup('onion', 2, 0)"
39,4,"(0, 0)","(1, 3)","(0, 1)",dish,"(1, 2)","(0, 1)",,"(3, 0):soup('onion', 3, 12);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 12);(4, 1):soup('onion', 2, 0)",0.0,18.0,1,"(0, 1)",-0.019200000000000016,0.0,0.0,-0.019200000000000016,0.0,18.0,False,"(1, 3)",dish,"(1, 2)",,"(3, 0):soup('onion', 3, 13);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 13);(4, 1):soup('onion', 2, 0)"
40,4,"(0, 0)","(1, 3)","(0, 1)",dish,"(1, 2)","(0, 1)",,"(3, 0):soup('onion', 3, 13);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 13);(4, 1):soup('onion', 2, 0)",0.0,18.0,1,"(0, 1)",-0.019200000000000016,0.0,0.0,-0.019200000000000016,0.0,18.0,False,"(1, 3)",dish,"(1, 2)",,"(3, 0):soup('onion', 3, 14);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 14);(4, 1):soup('onion', 2, 0)"
41,4,"(0, 0)","(1, 3)","(0, 1)",dish,"(1, 2)","(0, 1)",,"(3, 0):soup('onion', 3, 14);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 14);(4, 1):soup('onion', 2, 0)",0.0,18.0,1,"(0, 1)",-0.019200000000000016,0.0,0.0,-0.019200000000000016,0.0,18.0,False,"(1, 3)",dish,"(1, 2)",,"(3, 0):soup('onion', 3, 15);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 15);(4, 1):soup('onion', 2, 0)"
42,4,"(0, 0)","(1, 3)","(0, 1)",dish,"(1, 2)","(0, 1)",,"(3, 0):soup('onion', 3, 15);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 15);(4, 1):soup('onion', 2, 0)",0.0,18.0,1,"(0, 1)",-0.019200000000000016,0.0,0.0,-0.019200000000000016,0.0,18.0,False,"(1, 3)",dish,"(1, 2)",,"(3, 0):soup('onion', 3, 16);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 16);(4, 1):soup('onion', 2, 0)"
43,4,"(0, 0)","(1, 3)","(0, 1)",dish,"(1, 2)","(0, 1)",,"(3, 0):soup('onion', 3, 16);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 16);(4, 1):soup('onion', 2, 0)",0.0,18.0,1,"(0, 1)",-0.019200000000000016,0.0,0.0,-0.019200000000000016,0.0,18.0,False,"(1, 3)",dish,"(1, 2)",,"(3, 0):soup('onion', 3, 17);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 17);(4, 1):soup('onion', 2, 0)"
44,4,"(0, 0)","(1, 3)","(0, 1)",dish,"(1, 2)","(0, 1)",,"(3, 0):soup('onion', 3, 17);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 17);(4, 1):soup('onion', 2, 0)",0.0,18.0,1,"(0, 1)",-0.019200000000000016,0.0,0.0,-0.019200000000000016,0.0,18.0,False,"(1, 3)",dish,"(1, 2)",,"(3, 0):soup('onion', 3, 18);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 18);(4, 1):soup('onion', 2, 0)"
45,4,"(0, 0)","(1, 3)","(0, 1)",dish,"(1, 2)","(0, 1)",,"(3, 0):soup('onion', 3, 18);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 18);(4, 1):soup('onion', 2, 0)",0.0,18.0,1,"(0, 1)",-0.019200000000000016,0.0,0.0,-0.019200000000000016,0.0,18.0,False,"(1, 3)",dish,"(1, 2)",,"(3, 0):soup('onion', 3, 19);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 19);(4, 1):soup('onion', 2, 0)"
46,4,"(0, 0)","(1, 3)","(0, 1)",dish,"(1, 2)","(0, 1)",,"(3, 0):soup('onion', 3, 19);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 19);(4, 1):soup('onion', 2, 0)",0.0,18.0,1,"(0, 1)",0.5747999999999995,0.0,0.0,0.5747999999999995,0.0,18.0,False,"(1, 3)",dish,"(1, 2)",,"(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)"
47,2,"(1, 0)","(1, 3)","(0, 1)",dish,"(1, 2)","(0, 1)",,"(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)",0.0,18.0,1,"(0, 1)",-0.02519999999999989,0.0,0.0,-0.02519999999999989,0.0,18.0,False,"(2, 3)",dish,"(1, 3)",,"(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)"
48,2,"(1, 0)","(2, 3)","(1, 0)",dish,"(1, 3)","(0, 1)",,"(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)",0.0,18.0,5,interact,-0.02519999999999989,0.0,0.0,-0.02519999999999989,0.0,18.0,False,"(3, 3)",dish,"(1, 3)",onion,"(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)"
49,0,"(0, -1)","(3, 3)","(1, 0)",dish,"(1, 3)","(0, 1)",onion,"(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)",0.0,18.0,3,"(-1, 0)",-0.02519999999999989,0.0,0.0,-0.02519999999999989,0.0,18.0,False,"(3, 2)",dish,"(1, 3)",onion,"(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)"
50,0,"(0, -1)","(3, 2)","(0, -1)",dish,"(1, 3)","(-1, 0)",onion,"(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)",0.0,18.0,5,interact,-0.02519999999999989,0.0,0.0,-0.02519999999999989,0.0,18.0,False,"(3, 1)",dish,"(1, 3)",onion,"(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)"
51,5,interact,"(3, 1)","(0, -1)",dish,"(1, 3)","(-1, 0)",onion,"(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)","(3, 0):soup('onion', 3, 20);(4, 1):soup('onion', 2, 0)",0.0,18.0,1,"(0, 1)",5.3312,0.0,5.0,0.33120000000000027,0.0,23.0,False,"(3, 1)","soup('onion', 3, 20)","(1, 3)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)"
52,1,"(0, 1)","(3, 1)","(0, -1)","soup('onion', 3, 20)","(1, 3)","(0, 1)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)",0.0,23.0,0,"(0, -1)",0.030600000000000092,0.0,0.0,0.030600000000000092,0.0,23.0,False,"(3, 2)","soup('onion', 3, 20)","(1, 2)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)"
53,1,"(0, 1)","(3, 2)","(0, 1)","soup('onion', 3, 20)","(1, 2)","(0, -1)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)",0.0,23.0,0,"(0, -1)",0.02999999999999989,0.0,0.0,0.02999999999999989,0.0,23.0,False,"(3, 3)","soup('onion', 3, 20)","(1, 1)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)"
54,3,"(-1, 0)","(3, 3)","(0, 1)","soup('onion', 3, 20)","(1, 1)","(0, -1)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)",0.0,23.0,2,"(1, 0)",0.029400000000000225,0.0,0.0,0.029400000000000225,0.0,23.0,False,"(2, 3)","soup('onion', 3, 20)","(2, 1)",onion,"(4, 1):soup('onion', 2, 0)","(3, 0):empty;(4, 1):soup('onion', 2, 0)"
