step,ego_action,partner_action,sparse_reward,built_in,base,v2_extra,useless,custom,total,late_stage,no_interaction_change,useless_before,useless_after
22,"(0, -1)",interact,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
23,interact,"(0, 1)",0.0,3.0,1.9500000000000002,0.0,0.0,1.9500000000000002,4.95,False,False,"[0, 0]","[0, 0]"
24,"(0, 1)","(1, 0)",0.0,0.0,-0.050000000000000044,0.0,0.0,-0.050000000000000044,-0.050000000000000044,False,False,"[0, 0]","[0, 0]"
25,"(-1, 0)",interact,0.0,0.0,-0.050000000000000044,0.0,0.0,-0.050000000000000044,-0.050000000000000044,False,False,"[0, 0]","[0, 0]"
26,"(0, 1)",interact,0.0,0.0,-0.050000000000000044,0.0,0.0,-0.050000000000000044,-0.050000000000000044,False,False,"[0, 0]","[0, 0]"
27,"(-1, 0)",interact,0.0,0.0,-0.050000000000000044,0.0,0.0,-0.050000000000000044,-0.050000000000000044,False,False,"[0, 0]","[0, 0]"
28,interact,"(-1, 0)",0.0,0.0,-0.050000000000000044,0.0,0.0,-0.050000000000000044,-0.050000000000000044,False,False,"[0, 0]","[0, 0]"
29,"(0, -1)",interact,0.0,3.0,-0.050000000000000044,0.0,0.0,-0.050000000000000044,2.95,False,False,"[0, 0]","[0, 0]"
30,"(0, -1)","(1, 0)",0.0,0.0,-0.050000000000000044,0.0,0.0,-0.050000000000000044,-0.050000000000000044,False,False,"[0, 0]","[0, 0]"
31,"(1, 0)",interact,0.0,0.0,-0.050000000000000044,0.0,0.0,-0.050000000000000044,-0.050000000000000044,False,False,"[0, 0]","[0, 0]"
32,interact,interact,0.0,3.0,1.4349999999999996,0.0,0.0,1.4349999999999996,4.435,False,False,"[0, 0]","[0, 0]"
33,"(0, 1)","(0, 1)",0.0,0.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,-0.06500000000000061,False,False,"[0, 0]","[0, 0]"
34,"(-1, 0)","(1, 0)",0.0,0.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,-0.06500000000000061,False,False,"[0, 0]","[0, 0]"
35,"(-1, 0)",interact,0.0,0.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,-0.06500000000000061,False,False,"[0, 0]","[0, 0]"
36,"(0, 1)",interact,0.0,0.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,-0.06500000000000061,False,False,"[0, 0]","[0, 0]"
37,"(-1, 0)",interact,0.0,0.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,-0.06500000000000061,False,False,"[0, 0]","[0, 0]"
38,interact,"(-1, 0)",0.0,0.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,-0.06500000000000061,False,False,"[0, 0]","[0, 0]"
39,"(0, -1)",interact,0.0,3.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,2.9349999999999996,False,False,"[0, 0]","[0, 0]"
40,"(0, -1)","(1, 0)",0.0,0.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,-0.06500000000000061,False,False,"[0, 0]","[0, 0]"
41,interact,"(0, 1)",0.0,0.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,-0.06500000000000061,False,False,"[0, 0]","[0, 0]"
42,"(0, -1)","(1, 0)",0.0,0.0,1.5190000000000003,0.0,0.0,1.5190000000000003,1.5190000000000003,True,True,"[0, 0]","[0, 0]"
43,interact,"(1, 0)",0.0,5.0,2.5424999999999986,0.0,0.0,2.5424999999999986,7.542499999999999,True,False,"[0, 0]","[0, 0]"
44,"(0, 1)","(0, -1)",0.0,0.0,0.14000000000000012,0.0,0.0,0.14000000000000012,0.14000000000000012,True,True,"[0, 0]","[0, 0]"
45,"(0, 1)","(1, 0)",0.0,0.0,0.1375000000000015,0.0,0.0,0.1375000000000015,0.1375000000000015,True,True,"[0, 0]","[0, 0]"
46,interact,interact,20.0,0.0,-9.765,0.0,0.0,-9.765,10.235,True,False,"[0, 0]","[0, 0]"
47,"(-1, 0)","(-1, 0)",0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
48,interact,interact,0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
49,interact,"(0, 1)",0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
50,interact,"(1, 0)",0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
51,interact,interact,0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
52,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
53,"(0, -1)","(-1, 0)",0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
54,"(0, -1)",interact,0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
55,interact,"(0, 1)",0.0,3.0,1.47,0.0,0.0,1.47,4.47,False,False,"[0, 0]","[0, 0]"
56,"(0, 1)","(1, 0)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
57,"(0, 1)","(1, 0)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
58,"(-1, 0)",interact,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
59,interact,"(0, -1)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
60,"(0, -1)","(-1, 0)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
61,"(0, -1)",interact,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
62,interact,"(0, 1)",0.0,3.0,1.4549999999999996,0.0,0.0,1.4549999999999996,4.455,False,False,"[0, 0]","[0, 0]"
63,"(0, 1)","(1, 0)",0.0,0.0,-0.04500000000000004,0.0,0.0,-0.04500000000000004,-0.04500000000000004,False,False,"[0, 0]","[0, 0]"
64,"(0, 1)","(1, 0)",0.0,0.0,-0.04500000000000004,0.0,0.0,-0.04500000000000004,-0.04500000000000004,False,False,"[0, 0]","[0, 0]"
65,"(-1, 0)",interact,0.0,0.0,-0.04500000000000004,0.0,0.0,-0.04500000000000004,-0.04500000000000004,False,False,"[0, 0]","[0, 0]"
66,interact,"(0, -1)",0.0,0.0,-0.04500000000000004,0.0,0.0,-0.04500000000000004,-0.04500000000000004,False,False,"[0, 0]","[0, 0]"
67,"(0, -1)","(-1, 0)",0.0,0.0,-0.04500000000000004,0.0,0.0,-0.04500000000000004,-0.04500000000000004,False,False,"[0, 0]","[0, 0]"
68,"(0, -1)",interact,0.0,0.0,-0.04500000000000004,0.0,0.0,-0.04500000000000004,-0.04500000000000004,False,False,"[0, 0]","[0, 0]"
69,interact,"(0, 1)",0.0,3.0,1.935,0.0,0.0,1.935,4.9350000000000005,False,False,"[0, 0]","[0, 0]"
70,"(0, 1)","(1, 0)",0.0,0.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,-0.06500000000000061,False,False,"[0, 0]","[0, 0]"
71,"(-1, 0)",interact,0.0,0.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,-0.06500000000000061,False,False,"[0, 0]","[0, 0]"
72,"(0, 1)",interact,0.0,0.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,-0.06500000000000061,False,False,"[0, 0]","[0, 0]"
73,"(-1, 0)",interact,0.0,0.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,-0.06500000000000061,False,False,"[0, 0]","[0, 0]"
74,interact,"(-1, 0)",0.0,0.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,-0.06500000000000061,False,False,"[0, 0]","[0, 0]"
75,"(0, -1)",interact,0.0,0.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,-0.06500000000000061,False,False,"[0, 0]","[0, 0]"
76,"(0, -1)","(1, 0)",0.0,0.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,-0.06500000000000061,False,False,"[0, 0]","[0, 0]"
77,"(1, 0)",interact,0.0,0.0,-0.06500000000000061,0.0,0.0,-0.06500000000000061,-0.06500000000000061,False,False,"[0, 0]","[0, 0]"
78,interact,interact,0.0,3.0,1.4200000000000002,0.0,0.0,1.4200000000000002,4.42,False,False,"[0, 0]","[0, 0]"
79,"(0, 1)","(0, 1)",0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,False,False,"[0, 0]","[0, 0]"
80,"(-1, 0)","(1, 0)",0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,False,False,"[0, 0]","[0, 0]"
81,"(-1, 0)",interact,0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,False,False,"[0, 0]","[0, 0]"
82,"(0, 1)",interact,0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,False,False,"[0, 0]","[0, 0]"
83,"(-1, 0)",interact,0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,False,False,"[0, 0]","[0, 0]"
84,interact,"(-1, 0)",0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,False,False,"[0, 0]","[0, 0]"
85,"(0, -1)",interact,0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,False,False,"[0, 0]","[0, 0]"
86,"(0, -1)","(1, 0)",0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,False,False,"[0, 0]","[0, 0]"
87,interact,"(0, 1)",0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,False,False,"[0, 0]","[0, 0]"
88,"(0, -1)","(1, 0)",0.0,0.0,1.5039999999999987,4.95,0.0,6.453999999999999,6.453999999999999,True,True,"[0, 0]","[0, 0]"
89,interact,"(1, 0)",0.0,5.0,2.5275000000000003,-0.050000000000000044,0.0,2.4775,7.4775,True,False,"[0, 0]","[0, 0]"
90,"(0, 1)","(0, -1)",0.0,0.0,0.12499999999999956,-0.050000000000000044,0.0,0.07499999999999951,0.07499999999999951,True,True,"[0, 0]","[0, 0]"
91,"(0, 1)","(1, 0)",0.0,0.0,0.12250000000000094,-0.050000000000000044,0.0,0.0725000000000009,0.0725000000000009,True,True,"[0, 0]","[0, 0]"
92,interact,interact,20.0,0.0,-9.780000000000001,-5.0,0.0,-14.780000000000001,5.219999999999999,True,False,"[0, 0]","[0, 0]"
93,"(-1, 0)",interact,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
94,interact,"(0, -1)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
95,"(0, -1)",interact,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
96,"(-1, 0)","(-1, 0)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
97,"(0, 1)",interact,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
98,"(-1, 0)","(0, 1)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
99,interact,"(-1, 0)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
100,interact,"(0, 1)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
101,interact,"(1, 0)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
102,interact,interact,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
103,interact,"(0, -1)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
104,"(0, -1)","(-1, 0)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
105,"(0, -1)",interact,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
106,interact,"(0, 1)",0.0,3.0,1.4549999999999996,0.0,0.0,1.4549999999999996,4.455,False,False,"[0, 0]","[0, 0]"
107,"(0, 1)","(1, 0)",0.0,0.0,-0.04500000000000004,0.0,0.0,-0.04500000000000004,-0.04500000000000004,False,False,"[0, 0]","[0, 0]"
108,"(0, 1)","(1, 0)",0.0,0.0,-0.04500000000000004,0.0,0.0,-0.04500000000000004,-0.04500000000000004,False,False,"[0, 0]","[0, 0]"
109,"(-1, 0)",interact,0.0,0.0,-0.04500000000000004,0.0,0.0,-0.04500000000000004,-0.04500000000000004,False,False,"[0, 0]","[0, 0]"
110,interact,"(0, -1)",0.0,0.0,-0.04500000000000004,0.0,0.0,-0.04500000000000004,-0.04500000000000004,False,False,"[0, 0]","[0, 0]"
111,"(0, -1)","(-1, 0)",0.0,0.0,-0.04500000000000004,0.0,0.0,-0.04500000000000004,-0.04500000000000004,False,False,"[0, 0]","[0, 0]"
112,"(0, -1)",interact,0.0,0.0,-0.04500000000000004,0.0,0.0,-0.04500000000000004,-0.04500000000000004,False,False,"[0, 0]","[0, 0]"
113,interact,"(0, 1)",0.0,3.0,1.4400000000000002,0.0,0.0,1.4400000000000002,4.44,False,False,"[0, 0]","[0, 0]"
114,"(0, 1)","(1, 0)",0.0,0.0,-0.06000000000000005,0.0,0.0,-0.06000000000000005,-0.06000000000000005,False,False,"[0, 0]","[0, 0]"
115,"(0, 1)","(1, 0)",0.0,0.0,-0.06000000000000005,0.0,0.0,-0.06000000000000005,-0.06000000000000005,False,False,"[0, 0]","[0, 0]"
116,"(-1, 0)",interact,0.0,0.0,-0.06000000000000005,0.0,0.0,-0.06000000000000005,-0.06000000000000005,False,False,"[0, 0]","[0, 0]"
117,interact,"(0, -1)",0.0,0.0,-0.06000000000000005,0.0,0.0,-0.06000000000000005,-0.06000000000000005,False,False,"[0, 0]","[0, 0]"
118,"(0, -1)","(-1, 0)",0.0,0.0,-0.06000000000000005,0.0,0.0,-0.06000000000000005,-0.06000000000000005,False,False,"[0, 0]","[0, 0]"
119,"(0, -1)",interact,0.0,0.0,-0.06000000000000005,0.0,0.0,-0.06000000000000005,-0.06000000000000005,False,False,"[0, 0]","[0, 0]"
120,interact,"(0, 1)",0.0,3.0,1.9200000000000006,0.0,0.0,1.9200000000000006,4.920000000000001,False,False,"[0, 0]","[0, 0]"
121,"(0, 1)","(1, 0)",0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,False,False,"[0, 0]","[0, 0]"
122,"(-1, 0)",interact,0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,False,False,"[0, 0]","[0, 0]"
123,"(0, 1)",interact,0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,False,False,"[0, 0]","[0, 0]"
124,"(-1, 0)",interact,0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,False,False,"[0, 0]","[0, 0]"
125,interact,"(-1, 0)",0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,False,False,"[0, 0]","[0, 0]"
126,"(0, -1)",interact,0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,False,False,"[0, 0]","[0, 0]"
127,"(0, -1)","(1, 0)",0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,False,False,"[0, 0]","[0, 0]"
128,"(1, 0)",interact,0.0,0.0,-0.08000000000000007,0.0,0.0,-0.08000000000000007,-0.08000000000000007,False,False,"[0, 0]","[0, 0]"
129,interact,interact,0.0,3.0,1.8999999999999995,0.0,0.0,1.8999999999999995,4.8999999999999995,False,False,"[0, 0]","[0, 0]"
130,"(0, 1)","(0, 1)",0.0,0.0,-0.10000000000000009,0.0,0.0,-0.10000000000000009,-0.10000000000000009,False,False,"[0, 0]","[0, 0]"
131,"(-1, 0)","(1, 0)",0.0,0.0,-0.10000000000000009,0.0,0.0,-0.10000000000000009,-0.10000000000000009,False,False,"[0, 0]","[0, 0]"
132,"(-1, 0)",interact,0.0,0.0,-0.10000000000000009,0.0,0.0,-0.10000000000000009,-0.10000000000000009,False,False,"[0, 0]","[0, 0]"
133,"(0, 1)",interact,0.0,0.0,-0.10000000000000009,0.0,0.0,-0.10000000000000009,-0.10000000000000009,False,False,"[0, 0]","[0, 0]"
134,"(-1, 0)",interact,0.0,0.0,-0.10000000000000009,0.0,0.0,-0.10000000000000009,-0.10000000000000009,False,False,"[0, 0]","[0, 0]"
135,interact,"(-1, 0)",0.0,0.0,-0.10000000000000009,0.0,0.0,-0.10000000000000009,-0.10000000000000009,False,False,"[0, 0]","[0, 0]"
136,"(0, -1)",interact,0.0,0.0,-0.10000000000000009,0.0,0.0,-0.10000000000000009,-0.10000000000000009,False,False,"[0, 0]","[0, 0]"
137,"(0, -1)","(1, 0)",0.0,0.0,-0.10000000000000009,0.0,0.0,-0.10000000000000009,-0.10000000000000009,False,False,"[0, 0]","[0, 0]"
138,interact,"(0, 1)",0.0,0.0,-0.10000000000000009,0.0,0.0,-0.10000000000000009,-0.10000000000000009,False,False,"[0, 0]","[0, 0]"
139,"(0, -1)","(1, 0)",0.0,0.0,1.4840000000000009,4.95,0.0,6.434000000000001,6.434000000000001,True,True,"[0, 0]","[0, 0]"
140,interact,"(0, 1)",0.0,5.0,2.507499999999998,-0.050000000000000044,0.0,2.457499999999998,7.457499999999998,True,False,"[0, 0]","[0, 0]"
141,"(0, 1)","(1, 0)",0.0,0.0,0.10499999999999954,-0.050000000000000044,0.0,0.054999999999999494,0.054999999999999494,True,True,"[0, 0]","[0, 0]"
142,"(0, 1)","(-1, 0)",0.0,0.0,0.10250000000000092,-0.050000000000000044,0.0,0.05250000000000088,0.05250000000000088,True,True,"[0, 0]","[0, 0]"
143,interact,"(1, 0)",20.0,0.0,-9.8,-5.0,0.0,-14.8,5.199999999999999,True,False,"[0, 0]","[0, 0]"
144,"(-1, 0)",interact,0.0,0.0,-0.050000000000000044,0.0,0.0,-0.050000000000000044,-0.050000000000000044,False,False,"[0, 0]","[0, 0]"
145,interact,"(-1, 0)",0.0,0.0,-0.050000000000000044,0.0,0.0,-0.050000000000000044,-0.050000000000000044,False,False,"[0, 0]","[0, 0]"
146,"(0, -1)","(0, -1)",0.0,0.0,-0.050000000000000044,0.0,0.0,-0.050000000000000044,-0.050000000000000044,False,False,"[0, 0]","[0, 0]"
147,"(0, -1)","(-1, 0)",0.0,0.0,-0.050000000000000044,0.0,0.0,-0.050000000000000044,-0.050000000000000044,False,False,"[0, 0]","[0, 0]"
148,interact,"(0, 1)",0.0,0.0,2.2765000000000004,4.95,-1.25,5.976500000000001,5.976500000000001,True,True,"[0, 0]","[1, 0]"
149,"(1, 0)","(0, -1)",0.0,0.0,-0.07349999999999968,-0.050000000000000044,0.0,-0.12349999999999972,-0.12349999999999972,True,True,"[1, 0]","[0, 0]"
150,interact,"(-1, 0)",0.0,5.0,1.8075000000000008,-0.050000000000000044,0.0,1.7575000000000007,6.7575,True,False,"[0, 0]","[0, 0]"
151,"(0, 1)","(0, 1)",0.0,0.0,0.15499999999999958,-0.050000000000000044,0.0,0.10499999999999954,0.10499999999999954,True,True,"[0, 0]","[0, 0]"
152,"(0, 1)","(0, -1)",0.0,0.0,0.15249999999999986,-0.050000000000000044,0.0,0.10249999999999981,0.10249999999999981,True,True,"[0, 0]","[0, 0]"
153,interact,"(-1, 0)",20.0,0.0,-9.75,-5.0,0.0,-14.75,5.25,True,False,"[0, 0]","[0, 0]"
154,interact,interact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,"[0, 0]","[0, 0]"
155,interact,"(0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,"[0, 0]","[0, 0]"
156,"(-1, 0)","(1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,"[0, 0]","[0, 0]"
157,interact,interact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,"[0, 0]","[0, 0]"
158,interact,"(0, -1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,"[0, 0]","[0, 0]"
159,"(0, -1)","(-1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,"[0, 0]","[0, 0]"
160,"(0, -1)",interact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,"[0, 0]","[0, 0]"
161,interact,"(0, 1)",0.0,3.0,1.4849999999999999,0.0,0.0,1.4849999999999999,4.484999999999999,False,False,"[0, 0]","[0, 0]"
162,"(0, 1)","(1, 0)",0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
163,"(0, 1)","(1, 0)",0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
164,"(-1, 0)",interact,0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
165,interact,"(0, -1)",0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
166,"(0, -1)","(-1, 0)",0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
167,"(0, -1)",interact,0.0,0.0,-0.015000000000000013,0.0,0.0,-0.015000000000000013,-0.015000000000000013,False,False,"[0, 0]","[0, 0]"
168,interact,"(0, 1)",0.0,3.0,1.47,0.0,0.0,1.47,4.47,False,False,"[0, 0]","[0, 0]"
169,"(0, 1)","(1, 0)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
170,"(0, 1)","(1, 0)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
171,"(-1, 0)",interact,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
172,interact,"(0, -1)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
173,"(0, -1)","(-1, 0)",0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
174,"(0, -1)",interact,0.0,0.0,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,False,False,"[0, 0]","[0, 0]"
175,interact,"(0, 1)",0.0,3.0,1.9500000000000002,0.0,0.0,1.9500000000000002,4.95,False,False,"[0, 0]","[0, 0]"
176,"(0, 1)","(1, 0)",0.0,0.0,-0.050000000000000044,0.0,0.0,-0.050000000000000044,-0.050000000000000044,False,False,"[0, 0]","[0, 0]"
177,"(-1, 0)",interact,0.0,0.0,-0.050000000000000044,0.0,0.0,-0.050000000000000044,-0.050000000000000044,False,False,"[0, 0]","[0, 0]"
178,"(0, 1)",interact,0.0,0.0,-0.050000000000000044,0.0,0.0,-0.050000000000000044,-0.050000000000000044,False,False,"[0, 0]","[0, 0]"
